Input_Size,Num_Clusters,Threads_Per_Block,Blocks_Per_Grid,Num_Grids,Execution_Time_s,Date
1000000,15449,32,31250,1,28.4208,20260228
1000000,15449,64,15625,1,27.3221,20260228
1000000,15449,128,7813,1,26.8726,20260228
1000000,15449,256,3907,1,29.4705,20260228
1000000,15449,512,1954,1,26.8099,20260228
1000000,15449,1024,977,1,29.1419,20260228
1000,19,256,4,1,0.00297373,20260228
10000,219,256,40,1,0.0319805,20260228
50000,973,256,196,1,0.209844,20260228
100000,1856,256,391,1,0.545203,20260228
200000,3506,256,782,1,1.53614,20260228
1000000,15449,256,3907,1,28.6114,20260228
2234316,27950,256,8728,1,129.175,20260228
